wavenum,freq,power
-143.0,0.08333333333333333,5.741533455241046e-09
-143.0,0.08888888888888889,5.170383294106534e-09
-143.0,0.09444444444444444,3.0555383363707612e-09
-143.0,0.1,1.8665784909581507e-08
-143.0,0.10555555555555556,2.6160005332145613e-09
-143.0,0.1111111111111111,8.707466090660278e-09
-143.0,0.11666666666666667,5.388286892438595e-09
-143.0,0.12222222222222222,1.2109395466167378e-08
-143.0,0.12777777777777777,8.457989685897382e-09
-143.0,0.13333333333333333,7.299091056145558e-09
-143.0,0.1388888888888889,1.5620645710771037e-09
-143.0,0.14444444444444443,2.077809895644527e-09
-143.0,0.15,7.344156874701706e-09
-143.0,0.15555555555555556,3.615291628479508e-09
-143.0,0.16111111111111112,2.8403691223844176e-09
-143.0,0.16666666666666666,1.2839758740851774e-09
-143.0,0.17222222222222222,1.7136857425186346e-10
-143.0,0.17777777777777778,3.2094145661187133e-09
-143.0,0.18333333333333332,1.047053278638191e-08
-143.0,0.18888888888888888,3.2642956271202643e-09
-143.0,0.19444444444444445,9.373672841278258e-09
-143.0,0.2,3.6722042195116073e-09
-143.0,0.20555555555555555,7.729085559061341e-09
-143.0,0.2111111111111111,9.257000634917644e-10
-143.0,0.21666666666666667,4.655625036139268e-09
-143.0,0.2222222222222222,5.0454733631630915e-09
-143.0,0.22777777777777777,7.3041956528668805e-09
-143.0,0.23333333333333334,1.9199635939298298e-09
-143.0,0.2388888888888889,2.730597029923e-09
-143.0,0.24444444444444444,3.9720178688392145e-09
-143.0,0.25,2.2983876914944794e-09
-143.0,0.25555555555555554,3.7542710825469064e-09
-143.0,0.2611111111111111,6.514239642322734e-09
-143.0,0.26666666666666666,4.362920072946324e-09
-143.0,0.2722222222222222,6.01598176546177e-09
-143.0,0.2777777777777778,4.3758735890533945e-09
-143.0,0.2833333333333333,4.184179593886382e-09
-143.0,0.28888888888888886,1.9844913732275164e-10
-143.0,0.29444444444444445,2.7830311825810772e-09
-143.0,0.3,1.3520161198402019e-09
-143.0,0.3055555555555556,1.9446383660410325e-09
-143.0,0.3111111111111111,9.007144859147165e-10
-143.0,0.31666666666666665,1.1343927377452534e-09
-143.0,0.32222222222222224,3.838438907496677e-09
-143.0,0.3277777777777778,6.661870468433539e-10
-143.0,0.3333333333333333,1.291694992568142e-09
-143.0,0.3388888888888889,1.8988611578884196e-09
-143.0,0.34444444444444444,2.055746604885853e-09
-143.0,0.35,1.098004778976038e-09
-143.0,0.35555555555555557,2.0410257400906933e-09
-143.0,0.3611111111111111,2.4920543704323418e-09
-143.0,0.36666666666666664,8.026133992421463e-10
-143.0,0.37222222222222223,2.269422086632487e-09
-143.0,0.37777777777777777,3.115584404973344e-10
-143.0,0.38333333333333336,1.770798962641122e-09
-143.0,0.3888888888888889,1.4187638421054738e-09
-143.0,0.39444444444444443,1.6081530890842738e-09
-143.0,0.4,1.1907258287267175e-09
-143.0,0.40555555555555556,6.669668516559525e-10
-143.0,0.4111111111111111,6.0232373957247e-10
-143.0,0.4166666666666667,2.716192292868218e-10
-143.0,0.4222222222222222,2.50563513447087e-09
-143.0,0.42777777777777776,3.4314236646765757e-10
-143.0,0.43333333333333335,1.0536897402690227e-09
-143.0,0.4388888888888889,1.663707666684826e-09
-143.0,0.4444444444444444,5.507950646181342e-10
-143.0,0.45,1.1768563600500524e-09
-143.0,0.45555555555555555,8.844611402083814e-10
-143.0,0.46111111111111114,1.1289854954446196e-09
-143.0,0.4666666666666667,1.1288405014145049e-09
-143.0,0.4722222222222222,4.924086065598213e-10
-143.0,0.4777777777777778,1.878500443499709e-09
-143.0,0.48333333333333334,3.193133013301167e-09
-143.0,0.4888888888888889,7.730698533281607e-10
-143.0,0.49444444444444446,1.3046137777813823e-10
-143.0,0.5,6.31012042166732e-11
-142.0,-0.5,2.189770408167853e-09
-142.0,-0.49444444444444446,7.323389979393206e-10
-142.0,-0.4888888888888889,7.068436759608678e-10
-142.0,-0.48333333333333334,6.223240605186669e-10
-142.0,-0.4777777777777778,1.3024929586262783e-09
-142.0,-0.4722222222222222,1.4027893375416776e-09
-142.0,-0.4666666666666667,1.7260208060205953e-09
-142.0,-0.46111111111111114,9.242615170940771e-10
-142.0,-0.45555555555555555,4.876662338267364e-10
-142.0,-0.45,2.4394870922022603e-09
-142.0,-0.4444444444444444,6.355750099875246e-10
-142.0,-0.4388888888888889,1.1051431846027047e-09
-142.0,-0.43333333333333335,1.4718257658415822e-09
-142.0,-0.42777777777777776,1.54564020127844e-09
-142.0,-0.4222222222222222,1.313516005487942e-09
-142.0,-0.4166666666666667,5.594200507752833e-10
-142.0,-0.4111111111111111,5.674405801294002e-10
-142.0,-0.40555555555555556,6.736244489794828e-10
-142.0,-0.4,1.5892119134500245e-09
-142.0,-0.39444444444444443,1.6408924629857447e-09
-142.0,-0.3888888888888889,1.272793486830677e-09
-142.0,-0.38333333333333336,7.42495221504696e-10
-142.0,-0.37777777777777777,2.189670456409537e-10
-142.0,-0.37222222222222223,2.9760492129544464e-10
-142.0,-0.36666666666666664,2.0284611321461256e-09
-142.0,-0.3611111111111111,5.306414595165606e-09
-142.0,-0.35555555555555557,6.788458729186623e-10
-142.0,-0.35,1.757228034685743e-09
-142.0,-0.34444444444444444,2.9495668652460074e-09
-142.0,-0.3388888888888889,3.0503407276496703e-09
-142.0,-0.3333333333333333,7.72991633018957e-10
-142.0,-0.3277777777777778,3.7922179585695787e-10
